0	1	2	3	4	5	6	7	8	
1	fg	hg	eg	cg	ag	gg	dg	bg	
2	fc	hc	ec	cc	ac	gc	dc	bc	
3	ff	hf	ef	cf	af	gf	df	bf	
4	fa	ha	ea	ca	aa	ga	da	ba	
5	fe	he	ee	ce	ae	ge	de	be	
6	fh	hh	eh	ch	ah	gh	dh	bh	
7	fd	hd	ed	cd	ad	gd	dd	bd	
8	fb	hb	eb	cb	ab	gb	db	bb	
0	1	2	3	4	5	6	7	8	
1	fab	ffa	fga	fhh	fda	fca	fbh	fbb	
2	faf	ffe	fgf	fhh	fde	fce	fbe	fbf	
3	bab	bff	bgg	bhc	bdd	bcc	bbf	bbb	
4	fab	ffg	fgg	fhh	fda	fcg	fbg	fbb	
5	eab	efe	egf	ehh	edh	ecf	ebh	ebb	
6	dab	dfe	dgg	dhh	dda	dce	dbe	dbe	
7	bab	bfe	bga	bhh	bda	bce	bbe	bbb	
8	aab	afd	agd	ahh	add	acc	abd	abb	
0	1	2	3	4	5	6	7	8	
1	ccc	chf	cbb	cfg	cdd	caa	cge	ceg	
2	ecc	ehf	dbb	efd	edd	eah	egf	eec	
3	ccc	chc	cbb	cfc	cdd	caa	cge	cee	
4	fcc	fhc	fbb	ffc	fdd	faa	fge	fee	
5	hcc	hhc	hbb	hfc	hdc	haa	hgf	hef	
6	ecc	ehe	ebb	efa	edb	eaa	ege	eee	
7	bcc	bhh	bbb	bfc	bdd	baa	bge	bee	
8	acc	ahh	abb	afc	add	aaa	age	aee	
