0	1	2	3	4	5	6	7	8	
1	bq	ns	eh	es	mh	uu	ek	jv	
2	oo	xs	qd	rg	mw	mt	ok	rd	
3	bb	se	mr	me	au	mm	be	mj	
4	bf	nn	fi	ff	mf	mi	ei	jj	
5	bv	pv	ha	hv	aa	ai	wi	cv	
6	bp	pp	hp	he	aw	ai	wk	co	
7	bq	nn	qq	iv	mc	mu	bk	jc	
8	ft	nn	qa	ig	nq	jt	wg	jh	
0	1	2	3	4	5	6	7	8	
1	kol	jaa	bmx	kan	dmp	kml	qkl	jml	
2	unx	crn	crx	tun	drn	orv	qrg	bus	
3	qnm	hua	mus	ivs	dun	fam	fre	iuh	
4	urd	hrn	mrx	xtd	xrv	prw	rrb	bfb	
5	nnq	hnq	mnx	inx	dnx	ffj	fne	bff	
6	nor	hta	tno	ita	dto	ofs	ioe	bbh	
7	uol	mcl	mhx	mtt	mmo	ooj	qol	mbd	
8	nom	jhh	jup	jon	don	jqv	jjn	jfc	
