0	1	2	3	4	5	6	7	8	
1	ac	aj	ad	ag	ab	ak	ah	ae	
2	dc	dj	dd	dg	db	dk	dh	de	
3	fc	fj	fd	fg	fb	fk	fh	fe	
4	gc	gj	gd	gg	gb	gk	gh	ge	
5	bc	bj	bd	bg	bb	bk	bh	be	
6	kc	kj	kd	kg	kb	kk	kh	ke	
7	jc	jj	jd	jg	jb	jk	jh	je	
8	ec	ej	ed	eg	eb	ek	eh	ee	
0	1	2	3	4	5	6	7	8	
1	jck	kck	gck	eck	dck	bck	gck	cck	
2	jhb	khb	ghb	ehb	dhd	bhb	ghb	chb	
3	jia	kij	gia	eii	dii	bii	gie	cie	
4	jff	kfh	gff	eff	dff	bfb	gff	cff	
5	jjd	kjd	gja	ejd	djd	bjd	gja	cja	
6	jli	klj	glj	elj	dlk	blc	glj	clb	
7	jgl	kgl	ggl	egk	dgk	bgl	ggl	cgl	
8	jac	kac	gac	eaj	dac	baj	gac	cac	
0	1	2	3	4	5	6	7	8	
1	dee	gel	keg	feg	beg	cee	ieg	eeh	
2	djk	gjj	kjj	fjb	bjj	cjk	ijf	ejk	
3	ddf	gdh	kdd	fde	bdf	cdd	idd	edd	
4	daa	gaa	kaa	fad	baa	cai	iak	eaa	
5	dbi	gbj	kbf	fbj	bbj	cbi	ibf	ebk	
6	dhf	ghh	khk	fhb	bhe	chj	ihk	ehk	
7	dce	gci	kcg	fcb	bci	cci	ici	ecd	
8	dga	ggb	kgg	fgg	bgj	cgi	igd	egd	
