0	1	2	3	4	5	6	7	8	
1	af	av	aJ	aI	am	az	aD	aN	
2	bf	bb	bK	br	bm	bz	bD	bN	
3	eG	ev	eK	er	em	ez	eD	eN	
4	pf	pv	pK	pr	pm	pz	pu	pN	
5	Ff	Fv	FK	Fr	Fm	Fz	FD	FN	
6	Mf	Mv	MK	Mr	Mm	Mz	MA	MN	
7	qf	qb	qK	qr	qm	qz	qD	qN	
8	kl	kv	kJ	kr	km	kz	kA	kN	
0	1	2	3	4	5	6	7	8	
1	csL	czF	cAF	cNk	cat	cyt	cCK	cof	
2	EsL	EzF	EAi	ENI	Eag	EyJ	ECK	Eoi	
3	gsx	gzF	gAf	gNk	gaa	gyc	gCc	gof	
4	usx	uzF	uAp	uNr	uav	uyb	uCD	uop	
5	rsj	rzB	rAM	rNJ	raB	ryc	rCK	roB	
6	psL	pzF	pAi	pNI	pav	pyo	pCK	poi	
7	ssL	zzF	AAt	NNK	aat	yyM	CCK	ooB	
8	sHL	zHF	AHq	NHe	aHe	yHM	CHq	oHG	
0	1	2	3	4	5	6	7	8	
1	Jiz	Jch	JrJ	JnL	Jui	JDh	JNo	Jbx	
2	Fix	FcF	Frx	Fnf	Fuh	FDo	FNF	Fbu	
3	KiE	KcK	Krb	Knp	Kup	KDA	KNv	Kbi	
4	wiE	wcc	wry	wnG	wuh	wDA	wNv	wbz	
5	lil	lcI	lra	lnL	lup	lDh	lNN	lbx	
6	kil	kcK	krl	knG	kuM	kDM	kNM	kbz	
7	mil	mct	mrb	mnG	mun	mDj	mNG	mbb	
8	siE	scd	srB	snL	suj	sDu	sNv	sby	
